ProjectTitle,TissueType,Tissue,ComparisonName,Gene,HumanGene,log2FoldChange,padj,OR,-log10P,enrichment_score
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 12wk) vs Vivariumcontrol (EuthanasiaOnEarth) (Age 12wk),Ltbp2,LTBP2,-1.178552746,0.2426620495,0.4417944666,0.6149981387,2.300341296
"OSD-580: RR-17, heart",heart,heart,BasalControl (EuthanasiaOnISS) (Age 29wk) vs BasalControl (EuthanasiaOnISS) (Age 12wk),Ltbp2,LTBP2,0.8670167928,0.3608058228,1.823887561,0.4427264623,2.283465257
"OSD-253: RR-7, kidney",kidney,kidney,"Spaceflight 25d vs GroundControl 25d, C3H/HeJ",Efemp1,EFEMP1,-1.718879661,0.3059050158,0.3037845364,0.514413402,2.275920392
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",VivariumControl (1G) (chow) vs GroundControl (1G) (chow),Gfap,GFAP,1.711609673,1,3.275260537,0,2.275260537
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","VivariumControl 25d vs GroundControl 25d, C57BL/6J",Cdhr2,CDHR2,1.664774347,0.9601399069,3.170640586,0.01766547909,2.26075447
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (uG) (chow) vs VivariumControl (1G) (chow),Eda2r,EDA2R,0.8493430775,0.3554371926,1.801680354,0.44923713,2.255476834
"OSD-253: RR-7, kidney",kidney,kidney,"VivariumControl 25d vs GroundControl 25d, C57BL/6J",Havcr1,HAVCR1,1.702048164,1,3.253625411,0,2.253625411
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnISS) (Age 12wk) vs BasalControl (EuthanasiaOnEarth) (Age 12wk),Ccdc80,CCDC80,-0.507760416,0.1317599204,0.7033133874,0.8802166761,2.251721249
"OSD-168: RR-1/3, liver",liver,liver,"RR3, GroundControl vs BasalControl",Wnt9a,WNT9A,0.65315908,0.2549782054,1.57260798,0.5934969399,2.245713428
"OSD-48: RR-1, liver",liver,liver,GroundControl (FrozenCarcass) vs GroundControl (FreshDissection),Ltbp2,LTBP2,-1.18468113,0.2496541756,0.4399217604,0.6026611657,2.243416271
"OSD-511: RR-8, mammary gland",gland,mammary gland,(Age 32wk) Spaceflight vs (Age 32wk) VivariumControl,Cdcp1,CDCP1,-0.6444274128,0.1607433385,0.6397466475,0.793867016,2.241171272
"OSD-243: RR-6, skin, dorsal",skin,"skin, dorsal",Spaceflight 30d (FreshDissection on Earth) vs BasalControl 1d (FreshDissection on Earth),Timd2,HAVCR1,0.9270699863,0.4042489384,1.901410439,0.393351112,2.229839966
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (uG) (chow+FOS) vs VivariumControl (1G) (chow+FOS),Ccdc80,CCDC80,-0.7628543911,0.1847433162,0.589329181,0.7334312648,2.222926531
"OSD-457: JAXA, thymus",thymus,thymus,Wildtype Spaceflight vs Wildtype GroundControl,Timd2,HAVCR1,0.8884068087,0.3838575987,1.851130761,0.4158298578,2.217308617
"OSD-253: RR-7, kidney",kidney,kidney,"Spaceflight 25d vs GroundControl 25d, C3H/HeJ",Eda2r,EDA2R,-1.629141194,0.3059050158,0.3232805924,0.514413402,2.212188008
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 29wk) vs Spaceflight (EuthanasiaOnISS) (Age 29wk),Cdcp1,CDCP1,-1.023748517,0.2308218772,0.491836764,0.6367230313,2.201538442
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 29wk) vs Spaceflight (EuthanasiaOnISS) (Age 29wk),Crtac1,CRTAC1,-1.875276674,0.3305267137,0.2725746549,0.4807934344,2.200806516
"OSD-161: RR-3, adrenal gland",gland,adrenal gland,Spaceflight vs BasalControl,Wnt9a,WNT9A,0.5518258336,0.2119624186,1.465939774,0.6737411336,2.198218803
"OSD-253: RR-7, kidney",kidney,kidney,"Spaceflight 25d vs GroundControl 25d, C3H/HeJ",Nefl,NEFL,-1.589953367,0.3059050158,0.3321821907,0.514413402,2.183088785
"OSD-580: RR-17, heart",heart,heart,GroundControl (EuthanasiaOnEarth) (Age 29wk) vs GroundControl (EuthanasiaOnEarth) (Age 12wk),Cdhr2,CDHR2,1.663785314,1,3.168467711,0,2.168467711
"OSD-243: RR-6, skin, dorsal",skin,"skin, dorsal",Spaceflight 60d (FrozenCarcass on ISS) vs GroundControl 60d (FrozenCarcass on Earth),Havcr1,HAVCR1,1.145241844,0.5603323432,2.211832053,0.2515543087,2.162702311
"OSD-580: RR-17, heart",heart,heart,GroundControl (EuthanasiaOnEarth) (Age 12wk) vs BasalControl (EuthanasiaOnEarth) (Age 12wk),Nefl,NEFL,-1.092821114,0.245656477,0.4688436786,0.6096717807,2.162191398
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 75d vs Spaceflight 25d, C57BL/6J",Cdhr2,CDHR2,1.352795459,0.7233807161,2.554065385,0.1406330729,2.148336762
"OSD-245: RR-6, liver",liver,liver,Spaceflight 30d (FreshDissection on Earth) vs BasalControl 1d (FreshDissection on Earth),Efemp1,EFEMP1,0.580212928,0.2306361261,1.49506989,0.6370726653,2.146540955
"OSD-379: RR-8, liver",liver,liver,Spaceflight 23d (FrozenCarcass on ISS) vs GroundControl 23d (FrozenCarcass on ISS),Cdcp1,CDCP1,0.5419267716,0.2136891883,1.455915648,0.6702174506,2.133545694
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (uG) (chow) vs Spaceflight (1G centrifugation) (chow),Nefl,NEFL,1.634268014,0.9867919928,3.104300059,0.005774383199,2.132465682
"OSD-242: RR-9, liver",liver,liver,CohortControl_C1 vs VivariumControl_C2,Scarf2,SCARF2,-0.9644096065,0.2290893308,0.5124880939,0.6399951364,2.128042822
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",VivariumControl (1G) (chow+FOS) vs GroundControl (1G) (chow+FOS),Timd2,HAVCR1,1.644123105,1,3.125578215,0,2.125578215
"OSD-513: RR-23, kidney",kidney,kidney,VivariumControl vs GroundControl,Ltbp2,LTBP2,0.6376377895,0.2618640176,1.555779702,0.5819241733,2.122398133
"OSD-99: RR-1, muscle, extensor digitorum longus",muscle,"muscle, extensor digitorum longus",Spaceflight vs GroundControl,Efemp1,EFEMP1,-0.2383840966,0.07176999182,0.8476942483,1.144057103,2.122136952
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",GroundControl (1G) (chow+FOS) vs GroundControl (1G) (chow),Cdhr2,CDHR2,1.640869128,1,3.118536464,0,2.118536464
"OSD-379: RR-8, liver",liver,liver,Spaceflight 40d (FreshDissection on Earth) vs BasalControl 1d (FreshDissection on Earth),Efemp1,EFEMP1,-0.4962652101,0.1376324572,0.7089396818,0.8612791363,2.114765108
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (uG) (chow) vs Spaceflight (1G centrifugation) (chow),Cdhr2,CDHR2,1.623604385,0.9867919928,3.081439328,0.005774383199,2.109298964
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","VivariumControl 75d vs GroundControl 75d, C3H/HeJ",Nefl,NEFL,1.635585514,1,3.107136267,0,2.107136267
"OSD-162: RR-3, eye",eye,eye,Spaceflight vs GroundControl,Cdhr2,CDHR2,1.537535624,0.9053766737,2.902981994,0.04317069892,2.101867708
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow) vs VivariumControl (1G) (chow),Wnt9a,WNT9A,0.6271335279,0.2594111721,1.544493209,0.586011324,2.09895821
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (1G centrifugation) (chow+FOS) vs Spaceflight (1G centrifugation) (chow),Gfap,GFAP,1.627947653,1,3.090730053,0,2.090730053
"OSD-457: JAXA, bone, mandibular",bone,"bone, mandibular",Wildtype Spaceflight vs Wildtype GroundControl,Wnt9a,WNT9A,0.6371220834,0.2656067529,1.555223672,0.5757608874,2.090397423
"OSD-243: RR-6, skin, dorsal",skin,"skin, dorsal",Spaceflight 30d (FreshDissection on Earth) vs BasalControl 1d (FreshDissection on Earth),Cdcp1,CDCP1,0.3427950443,0.1284276405,1.268211219,0.8913414962,2.088422847
"OSD-457: JAXA, adipose tissue, brown",adipose,"adipose tissue, brown",Nrf2KO Spaceflight vs Wildtype Spaceflight,Ccdc80,CCDC80,-0.6547061283,0.1750386003,0.635204867,0.7568661681,2.084083924
"OSD-253: RR-7, kidney",kidney,kidney,"VivariumControl 75d vs GroundControl 75d, C57BL/6J",Scarf2,SCARF2,1.272621036,0.682468099,2.416000974,0.1659176443,2.074823682
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (1G centrifugation) (chow+FOS) vs Spaceflight (uG) (chow+FOS),Wnt9a,WNT9A,0.5261382271,0.2134470333,1.440069287,0.670709877,2.061725949
"OSD-241: RR-5, skin, femoral",skin,"skin, femoral",Spaceflight vs GroundControl,Ccdc80,CCDC80,0.6044537595,0.2532492867,1.520402982,0.5964517693,2.054904037
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",VivariumControl (1G) (chow+FOS) vs VivariumControl (1G) (chow),Nefl,NEFL,1.397510617,0.7964256935,2.634466103,0.09885473766,2.05225185
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",VivariumControl (1G) (chow+FOS) vs GroundControl (1G) (chow+FOS),Ltbp2,LTBP2,0.9879278721,0.4791884953,1.983334302,0.3194936174,2.05208245
"OSD-379: RR-8, liver",liver,liver,Spaceflight 40d (FreshDissection on Earth) vs BasalControl 1d (FreshDissection on Earth),Gfap,GFAP,-0.5614850114,0.1580889675,0.6776043252,0.8010984368,2.039330637
"OSD-243: RR-6, skin, dorsal",skin,"skin, dorsal",Spaceflight 30d (FreshDissection on Earth) vs BasalControl 1d (FreshDissection on Earth),Nefl,NEFL,-1.18923407,0.2757744917,0.4385356185,0.5594459071,2.035954732
"OSD-242: RR-9, liver",liver,liver,CohortControl_C1 vs GroundControl_C2,Eda2r,EDA2R,0.7606852161,0.3416628852,1.694295149,0.466402196,2.032105853
"OSD-242: RR-9, liver",liver,liver,Spaceflight_C1 vs VivariumControl_C2,Ccn5,CCN5,1.355433325,0.7677886755,2.558739584,0.1147582978,2.030167459
"OSD-457: JAXA, spleen",spleen,spleen,Nrf2KO Spaceflight vs Wildtype Spaceflight,Nefl,NEFL,1.599358825,1,3.030086177,0,2.030086177
"OSD-242: RR-9, liver",liver,liver,CohortControl_C1 vs CC_C2,Scarf2,SCARF2,-0.5545107911,0.1579543819,0.680887904,0.8014683217,2.020280111
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnISS) (Age 12wk) vs BasalControl (EuthanasiaOnEarth) (Age 12wk),Eda2r,EDA2R,0.4304300067,0.1730375378,1.34763519,0.7618596732,2.009016048
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (uG) (chow) vs VivariumControl (1G) (chow),Cdcp1,CDCP1,0.6339526654,0.2747364335,1.551810793,0.5610837438,2.008509705
"OSD-48: RR-1, liver",liver,liver,Spaceflight (FrozenCarcass) vs Spaceflight (FreshDissection),Eda2r,EDA2R,-1.128344303,0.2710334013,0.4574404016,0.5669771847,2.001818211
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",GroundControl (1G) (chow+FOS) vs GroundControl (1G) (chow),Cdcp1,CDCP1,0.7649341716,0.349590345,1.69929246,0.4564405702,2.000319717
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",VivariumControl (1G) (chow) vs GroundControl (1G) (chow),Nefl,NEFL,1.583375297,1,2.996701318,0,1.996701318
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (uG) (chow) vs GroundControl (1G) (chow),Efemp1,EFEMP1,0.8645062438,0.4155548814,1.820716428,0.3813716118,1.974989261
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 29wk) vs Vivariumcontrol (EuthanasiaOnEarth) (Age 29wk),Wnt9a,WNT9A,-0.2863962088,0.09132020798,0.8199476972,1.039433108,1.971658922
"OSD-163: RR-3, kidney",kidney,kidney,GroundControl vs BasalControl,BC053393,HAVCR1,1.136322695,0.609603894,2.198200064,0.2149522675,1.96553873
"OSD-379: RR-8, liver",liver,liver,VivariumControl 40d (FreshDissection on Earth) vs GroundControl 40d (FreshDissection on Earth),Efemp1,EFEMP1,0.4807630558,0.2012132452,1.395481555,0.6963434345,1.965484702
"OSD-248: RR-6, lung",lung,lung,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Ccn5,CCN5,0.618959477,0.2728316248,1.535767132,0.5641052906,1.963728113
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 25d vs GroundControl 25d, C57BL/6J",Ltbp2,LTBP2,0.6496347048,0.289850479,1.568770927,0.5378259775,1.962290797
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (uG) (chow+FOS) vs Spaceflight (uG) (chow),Gfap,GFAP,1.566644601,1,2.962149798,0,1.962149798
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow+FOS) vs VivariumControl (1G) (chow+FOS),Gfap,GFAP,-1.492287627,0.3287229383,0.3554484805,0.4831699898,1.960774392
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","VivariumControl 25d vs GroundControl 25d, C3H/HeJ",Cdhr2,CDHR2,1.562129178,1,2.952893201,0,1.952893201
"OSD-457: JAXA, adipose tissue, white",adipose,"adipose tissue, white",Wildtype Spaceflight vs Wildtype GroundControl,Nefl,NEFL,0.8854618642,0.4348298961,1.847355939,0.3616806043,1.948706717
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (uG) (chow+FOS) vs Spaceflight (1G centrifugation) (chow+FOS),Ccdc80,CCDC80,0.54322659,0.2351191407,1.457227968,0.6287120141,1.94466502
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow) vs Spaceflight (1G centrifugation) (chow),Nefl,NEFL,1.558057395,1,2.944570865,0,1.944570865
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow+FOS) vs Spaceflight (1G centrifugation) (chow+FOS),Ccn5,CCN5,1.218503842,0.6840683666,2.327052634,0.1649004922,1.939941531
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 75d vs GroundControl 75d, C3H/HeJ",Timd2,HAVCR1,1.511055365,0.9582836026,2.850184606,0.0185059431,1.930727606
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 75d vs Spaceflight 25d, C57BL/6J",Havcr1,HAVCR1,1.172951793,0.6563618807,2.254725483,0.1828566493,1.911636735
"OSD-248: RR-6, lung",lung,lung,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Havcr1,HAVCR1,-0.8179648263,0.2275861969,0.5672415719,0.6428540814,1.901514389
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 25d vs VivariumControl 25d, C57BL/6J",Efemp1,EFEMP1,1.02145894,0.5425913848,2.02997075,0.2655271062,1.898243833
"OSD-241: RR-5, skin, femoral",skin,"skin, femoral",Spaceflight vs GroundControl,Wnt9a,WNT9A,0.560970499,0.2509981988,1.47526129,0.600329395,1.893484862
"OSD-511: RR-8, mammary gland",gland,mammary gland,(Age 32wk) VivariumControl vs (Age 32wk) GroundControl,Cxcl17,CXCL17,-0.7597863937,0.2174069728,0.5905837664,0.662726531,1.883178944
"OSD-253: RR-7, kidney",kidney,kidney,"Spaceflight 25d vs GroundControl 25d, C3H/HeJ",Gfap,GFAP,-1.488180727,0.3422324325,0.3564617723,0.4656788358,1.880412745
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnISS) (Age 29wk) vs Spaceflight (EuthanasiaOnEarth) (Age 29wk),Gfap,GFAP,0.8082792927,0.4017459673,1.751121628,0.3960484739,1.86964323
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnISS) (Age 29wk) vs Vivariumcontrol (EuthanasiaOnEarth) (Age 29wk),Gfap,GFAP,0.8208470997,0.4103133695,1.766442881,0.3868843319,1.867945181
"OSD-513: RR-23, kidney",kidney,kidney,VivariumControl vs GroundControl,Eda2r,EDA2R,0.3723253857,0.1609119994,1.294437569,0.7934115689,1.829804927
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 75d vs GroundControl 75d, C57BL/6J",Timd2,HAVCR1,-2.215440772,0.4292013169,0.2153207451,0.3673389541,1.828231238
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (uG) (chow+FOS) vs GroundControl (1G) (chow+FOS),Ccn5,CCN5,0.7237972079,0.3566071574,1.651523168,0.4478099444,1.827005303
"OSD-253: RR-7, kidney",kidney,kidney,"VivariumControl 75d vs VivariumControl 25d, C57BL/6J",Crtac1,CRTAC1,1.496953511,1,2.822460736,0,1.822460736
"OSD-47: RR-1, liver",liver,liver,Spaceflight vs BasalControl,Cdcp1,CDCP1,-0.5210575609,0.1668072188,0.6968608153,0.7777851586,1.817302554
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 29wk) vs Vivariumcontrol (EuthanasiaOnISS) (Age 12wk),Crtac1,CRTAC1,1.361752308,0.8658237444,2.569971407,0.06257050824,1.81326906
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","VivariumControl 75d vs GroundControl 75d, C57BL/6J",Cxcl17,CXCL17,1.490719294,1,2.810290547,0,1.810290547
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnISS) (Age 12wk) vs GroundControl (EuthanasiaOnEarth) (Age 12wk),Eda2r,EDA2R,0.3574001915,0.1555068814,1.281115183,0.8082503882,1.807734682
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (uG) (chow) vs GroundControl (1G) (chow),Eda2r,EDA2R,0.9083007981,0.4855255853,1.876833667,0.3137878796,1.805947397
"OSD-457: JAXA, kidney",kidney,kidney,Nrf2KO Spaceflight vs Wildtype Spaceflight,Ccn5,CCN5,1.488280258,1,2.805543453,0,1.805543453
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 75d vs GroundControl 75d, C57BL/6J",Scarf2,SCARF2,1.022563397,0.5714801723,2.031525392,0.242998833,1.80500644
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 29wk) vs Vivariumcontrol (EuthanasiaOnISS) (Age 12wk),Havcr1,HAVCR1,1.394778362,0.9039433224,2.629481528,0.0438587991,1.802636833
"OSD-247: RR-6, colon",colon,colon,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Nefl,NEFL,-0.6271486595,0.1960783132,0.6474547804,0.7075704378,1.797981704
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 12wk) vs Spaceflight (EuthanasiaOnISS) (Age 12wk),Ltbp2,LTBP2,-1.221420114,0.3176919516,0.4288603625,0.4979937874,1.797778114
"OSD-253: RR-7, kidney",kidney,kidney,"Spaceflight 25d vs GroundControl 25d, C57BL/6J",Cxcl17,CXCL17,1.4818151,1,2.792999083,0,1.792999083
"OSD-254: RR-7, skin, dorsal",skin,"skin, dorsal","Spaceflight 75d vs VivariumControl 75d, C57BL/6J",Nefl,NEFL,1.48096244,1,2.791348856,0,1.791348856
"OSD-246: RR-6, spleen",spleen,spleen,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Cdcp1,CDCP1,-0.5372740741,0.1764802129,0.6890716586,0.753303981,1.761831178
"OSD-162: RR-3, eye",eye,eye,Spaceflight vs BasalControl,Cdhr2,CDHR2,1.221477212,0.7574534331,2.331853595,0.1206440616,1.75833066
"OSD-168: RR-1/3, liver",liver,liver,"RR1, Spaceflight vs GroundControl",Ltbp2,LTBP2,-0.734446481,0.2274197126,0.6010485849,0.6431718936,1.754251689
"OSD-246: RR-6, spleen",spleen,spleen,Spaceflight 30d (FreshDissection on Earth) vs GroundControl 30d (FreshDissection on Earth),Nefl,NEFL,1.350971987,0.8841639918,2.550839253,0.05346717604,1.754017657
"OSD-580: RR-17, heart",heart,heart,BasalControl (EuthanasiaOnISS) (Age 12wk) vs BasalControl (EuthanasiaOnEarth) (Age 12wk),Efemp1,EFEMP1,-0.5558331779,0.1824162026,0.6802640821,0.7389365894,1.752782447
"OSD-457: JAXA, kidney",kidney,kidney,Nrf2KO GroundControl vs Wildtype GroundControl,Eda2r,EDA2R,1.46037565,1,2.751800058,0,1.751800058
"OSD-248: RR-6, lung",lung,lung,Spaceflight 30d (FreshDissection on Earth) vs BasalControl 1d (FreshDissection on Earth),Gfap,GFAP,0.9066691277,0.5009738143,1.874712191,0.3001849739,1.746023776
"OSD-580: RR-17, heart",heart,heart,GroundControl (EuthanasiaOnISS) (Age 29wk) vs BasalControl (EuthanasiaOnISS) (Age 29wk),Gfap,GFAP,-1.276012842,0.3364576191,0.4129351567,0.4730696326,1.74484039
"OSD-48: RR-1, liver",liver,liver,GroundControl (FrozenCarcass) vs GroundControl (FreshDissection),Ccn5,CCN5,-1.611325148,0.3884405509,0.3272975827,0.4106754387,1.731802758
"OSD-242: RR-9, liver",liver,liver,CohortControl_C2 vs BasalControl_C1,Ltbp2,LTBP2,-0.8748653426,0.2627220178,0.5453047613,0.580503529,1.730708536
"OSD-457: JAXA, adipose tissue, brown",adipose,"adipose tissue, brown",Nrf2KO GroundControl vs Wildtype GroundControl,Ccdc80,CCDC80,0.567735705,0.2786784262,1.482195454,0.5548966507,1.730293443
"OSD-511: RR-8, mammary gland",gland,mammary gland,(Age 32wk) Spaceflight vs (Age 32wk) GroundControl,Timd2,HAVCR1,-0.9591254069,0.2818304183,0.5143686403,0.5500121347,1.723133232
"OSD-457: JAXA, thymus",thymus,thymus,Wildtype Spaceflight vs Wildtype GroundControl,Scarf2,SCARF2,0.6185188893,0.3108561619,1.535298192,0.5074405195,1.722012487
"OSD-240: RR-5, skin, dorsal",skin,"skin, dorsal",Spaceflight vs GroundControl,Nefl,NEFL,0.6515324791,0.331722875,1.570835904,0.4792245793,1.720821648
"OSD-379: RR-8, liver",liver,liver,Spaceflight 23d (FrozenCarcass on ISS) vs BasalControl 1d (FrozenCarcass on ISS),Wnt9a,WNT9A,0.4754699851,0.2272961734,1.390371086,0.6434078757,1.717455599
"OSD-168: RR-1/3, liver",liver,liver,"RR1, Spaceflight vs VivariumControl",Ccdc80,CCDC80,-0.3946387963,0.1394051796,0.7606798022,0.8557210897,1.716723859
"OSD-168: RR-1/3, liver",liver,liver,"RR3, Spaceflight vs BasalControl",Cdcp1,CDCP1,0.5289319869,0.2587592151,1.442860664,0.5871041749,1.711477847
"OSD-241: RR-5, skin, femoral",skin,"skin, femoral",Spaceflight vs GroundControl,Nefl,NEFL,0.7224728137,0.3805576481,1.650007765,0.4195795456,1.708040209
"OSD-242: RR-9, liver",liver,liver,CohortControl_C2 vs Spaceflight_C1,Gfap,GFAP,0.7989438395,0.4337775718,1.739826977,0.3627329066,1.705544558
"OSD-243: RR-6, skin, dorsal",skin,"skin, dorsal",BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Ltbp2,LTBP2,0.6206350951,0.3152785622,1.537551885,0.5013055587,1.705006141
"OSD-242: RR-9, liver",liver,liver,CohortControl_C2 vs CC_C1,Ltbp2,LTBP2,0.8545800957,0.4758819745,1.808232383,0.3225007451,1.69838831
"OSD-48: RR-1, liver",liver,liver,Spaceflight (FrozenCarcass) vs Spaceflight (FreshDissection),Gfap,GFAP,0.84706941,0.470927757,1.798843167,0.327045711,1.696317864
"OSD-379: RR-8, liver",liver,liver,Spaceflight 23d (FrozenCarcass on ISS) vs VivariumControl 23d (FrozenCarcass on ISS),Eda2r,EDA2R,0.5374877823,0.2661852702,1.451442865,0.5748159806,1.695972375
"OSD-48: RR-1, liver",liver,liver,Spaceflight (FrozenCarcass) vs GroundControl (FrozenCarcass),Ltbp2,LTBP2,0.8879026253,0.5015951903,1.850483953,0.2996466365,1.69555843
"OSD-253: RR-7, kidney",kidney,kidney,"Spaceflight 75d vs VivariumControl 75d, C57BL/6J",Scarf2,SCARF2,1.195860387,0.7638203089,2.290814097,0.1170087985,1.689944719
"OSD-240: RR-5, skin, dorsal",skin,"skin, dorsal",Spaceflight vs GroundControl,Crtac1,CRTAC1,0.5805623373,0.2933194965,1.495432028,0.5326590692,1.689052498
"OSD-580: RR-17, heart",heart,heart,Vivariumcontrol (EuthanasiaOnISS) (Age 12wk) vs BasalControl (EuthanasiaOnISS) (Age 12wk),Cxcl17,CXCL17,-3.524530127,0.5413100526,0.08689818612,0.2665539076,1.686836979
"OSD-580: RR-17, heart",heart,heart,Spaceflight (EuthanasiaOnISS) (Age 12wk) vs Vivariumcontrol (EuthanasiaOnEarth) (Age 12wk),Ccn5,CCN5,-0.5514507074,0.188582073,0.6823336601,0.7244995945,1.68449914
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",GroundControl (1G) (chow+FOS) vs GroundControl (1G) (chow),Wnt9a,WNT9A,0.6700738643,0.3518305322,1.591154431,0.4536664748,1.680224928
"OSD-239: MHU-2, skin, femoral",skin,"skin, femoral",Spaceflight (1G centrifugation) (chow+FOS) vs VivariumControl (1G) (chow+FOS),Scarf2,SCARF2,-0.515914591,0.178986732,0.6993494423,0.7471791614,1.679736561
"OSD-248: RR-6, lung",lung,lung,BasalControl 1d (FrozenCarcass on Earth) vs BasalControl 1d (FreshDissection on Earth),Scarf2,SCARF2,0.7661829546,0.4201062865,1.700763988,0.3766408196,1.66806356
"OSD-240: RR-5, skin, dorsal",skin,"skin, dorsal",Spaceflight vs GroundControl,Eda2r,EDA2R,0.4726476731,0.2324448531,1.387653793,0.6336800657,1.667723709
"OSD-580: RR-17, heart",heart,heart,GroundControl (EuthanasiaOnISS) (Age 12wk) vs GroundControl (EuthanasiaOnEarth) (Age 12wk),Gfap,GFAP,0.8331106294,0.4709834247,1.781522407,0.3269943767,1.659341638
"OSD-457: JAXA, bone, mandibular",bone,"bone, mandibular",Nrf2KO GroundControl vs Wildtype GroundControl,Ccn5,CCN5,0.8817497652,0.5081339259,1.842608745,0.2940218081,1.658241464
"OSD-379: RR-8, liver",liver,liver,Spaceflight 23d (FrozenCarcass on ISS) vs BasalControl 1d (FrozenCarcass on ISS),Ccn5,CCN5,-0.7036882705,0.2335331325,0.6140004974,0.6316514952,1.652868261
"OSD-513: RR-23, kidney",kidney,kidney,Spaceflight vs VivariumControl,Ltbp2,LTBP2,-0.7368814819,0.2421506654,0.6000349823,0.6159143332,1.651719672
"OSD-238: MHU-2, skin, dorsal",skin,"skin, dorsal",Spaceflight (uG) (chow) vs VivariumControl (1G) (chow),Efemp1,EFEMP1,-0.7410596291,0.2438462955,0.5982997523,0.6128838378,1.647350217
"OSD-580: RR-17, heart",heart,heart,BasalControl (EuthanasiaOnISS) (Age 29wk) vs BasalControl (EuthanasiaOnEarth) (Age 29wk),Gfap,GFAP,0.8571258887,0.4948524585,1.811426023,0.3055242677,1.639733236
"OSD-457: JAXA, adipose tissue, white",adipose,"adipose tissue, white",Nrf2KO Spaceflight vs Wildtype Spaceflight,Gfap,GFAP,1.399080184,1,2.637333807,0,1.637333807
